Abbreviation,English Name,Syriac Name (Syriac Script)
MAT,Matthew,ܡܬܝ
MRK,Mark,ܡܪܩܘܣ
LUK,Luke,ܠܘܩܐ
JHN,John,ܝܘܚܢܢ
ACT,Acts,ܥܒܕܐ ܕܫܠܝܚܐ
ROM,Romans,ܪ̈ܘܡܝܐ
1CO,1 Corinthians,ܩܘܪܝܢܬܝܐ ܩܕܡܝܐ
2CO,2 Corinthians,ܩܘܪܝܢܬܝܐ ܬܪܝܢܝܐ
GAL,Galatians,ܓܠܛܝܐ
EPH,Ephesians,ܐܦܣܘܣܝܐ
PHP,Philippians,ܦܝܠܝܦܘܣܝܐ
COL,Colossians,ܩܘܠܣܘܣܝܐ
1TH,1 Thessalonians,ܬܣܠܘܢܝܩܝܐ ܩܕܡܝܐ
2TH,2 Thessalonians,ܬܣܠܘܢܝܩܝܐ ܬܪܝܢܝܐ
1TI,1 Timothy,ܛܝܡܬܐܘܣ ܩܕܡܝܐ
2TI,2 Timothy,ܛܝܡܬܐܘܣ ܬܪܝܢܝܐ
TIT,Titus,ܛܝܛܘܣ
PHM,Philemon,ܦܝܠܝܡܘܢ
HEB,Hebrews,ܥܒܪܐ̈ܝܐ
JAS,James,ܝܥܩܘܒ
1PE,1 Peter,ܟܐܦܐ ܩܕܡܝܐ
2PE,2 Peter,ܟܐܦܐ ܬܪܝܢܝܐ
1JN,1 John,ܝܘܚܢܢ ܩܕܡܝܐ
2JN,2 John,ܝܘܚܢܢ ܬܪܝܢܝܐ
3JN,3 John,ܝܘܚܢܢ ܬܠܬܝܐ
JUD,Jude,ܝܗܘܕܐ
REV,Revelation,ܓܠܝܢܐ
