Abbreviation,English Name,Syriac Name (Syriac Script)
GEN,Genesis,ܒܪܝܬܐ
EXO,Exodus,ܡܦܩܢܐ
LEV,Leviticus,ܟܗܢܐ
NUM,Numbers,ܡܢܝܢܐ
DEU,Deuteronomy,ܬܢܝܢ ܢܡܘܣܐ
JOS,Joshua,ܝܘܫܥ
JDG,Judges,ܕܝܢܝܐ
RUT,Ruth,ܪܥܘܬ
1SA,1 Samuel,ܫܡܘܐܝܠ ܩܕܡܝܐ
2SA,2 Samuel,ܫܡܘܐܝܠ ܬܪܝܢܝܐ
1KI,1 Kings,ܡܠܟܐ ܩܕܡܝܐ
2KI,2 Kings,ܡܠܟܐ ܬܪܝܢܝܐ
1CH,1 Chronicles,ܕܝܘܡܐ ܩܕܡܝܐ
2CH,2 Chronicles,ܕܝܘܡܐ ܬܪܝܢܝܐ
EZR,Ezra,ܥܙܪܐ
NEH,Nehemiah,ܢܚܡܝܐ
EST,Esther,ܐܣܬܝܪ
JOB,Job,ܐܝܘܒ
PSA,Psalms,ܡܙܡܘܪ̈ܐ
PRO,Proverbs,ܡܬܠ̈ܐ
ECC,Ecclesiastes,ܩܘܗܠܬ
SNG,Song of Songs,ܬܫܒܚܬ ܬܫܒܚܬ̈ܐ
ISA,Isaiah,ܐܫܥܝܐ
JER,Jeremiah,ܐܪܡܝܐ
LAM,Lamentations,ܐܘܠܝܬ̈ܐ ܕܐܪܡܝܐ
EZK,Ezekiel,ܚܙܩܝܐܝܠ
DAG,Daniel,ܕܢܝܐܝܠ
HOS,Hosea,ܗܘܫܥ
JOL,Joel,ܝܘܐܝܠ
AMO,Amos,ܥܡܘܣ
OBA,Obadiah,ܥܘܒܕܝܐ
JON,Jonah,ܝܘܢܢ
MIC,Micah,ܡܝܟܐ
NAM,Nahum,ܢܚܘܡ
HAB,Habakkuk,ܚܒܩܘܩ
ZEP,Zephaniah,ܨܦܢܝܐ
HAG,Haggai,ܚܓܝ
ZEC,Zechariah,ܙܟܪܝܐ
MAL,Malachi,ܡܠܐܟܝ
