Character,Unicode,Name,Count
<,U+003C,LESS-THAN SIGN,628665
d,U+0064,LATIN SMALL LETTER D,5222
o,U+006F,LATIN SMALL LETTER O,62795
c,U+0063,LATIN SMALL LETTER C,8627
 ,U+0020,SPACE,53597
g,U+0067,LATIN SMALL LETTER G,555383
e,U+0065,LATIN SMALL LETTER E,188933
n,U+006E,LATIN SMALL LETTER N,61464
r,U+0072,LATIN SMALL LETTER R,82456
=,U+003D,EQUALS SIGN,54612
"""",U+0022,QUOTATION MARK,107490
l,U+006C,LATIN SMALL LETTER L,5752
a,U+0061,LATIN SMALL LETTER A,39808
u,U+0075,LATIN SMALL LETTER U,5290
t,U+0074,LATIN SMALL LETTER T,15454
h,U+0068,LATIN SMALL LETTER H,7099
A,U+0041,LATIN CAPITAL LETTER A,1381
y,U+0079,LATIN SMALL LETTER Y,2486
m,U+006D,LATIN SMALL LETTER M,2989
s,U+0073,LATIN SMALL LETTER S,79035
i,U+0069,LATIN SMALL LETTER I,12263
p,U+0070,LATIN SMALL LETTER P,31305
b,U+0062,LATIN SMALL LETTER B,1433
_,U+005F,LOW LINE,2319
1,U+0031,DIGIT ONE,46810
9,U+0039,DIGIT NINE,16383
0,U+0030,DIGIT ZERO,26979
7,U+0037,DIGIT SEVEN,11846
ܟ,U+071F,SYRIAC LETTER KAPH,341050
ܬ,U+072C,SYRIAC LETTER TAW,599308
݂,U+0742,SYRIAC RUKKAKHA,240494
ܵ,U+0735,SYRIAC ZQAPHA DOTTED,2218612
ܒ,U+0712,SYRIAC LETTER BETH,609589
ܐ,U+0710,SYRIAC LETTER ALAPH,1861577
ܕ,U+0715,SYRIAC LETTER DALATH,739260
ܡ,U+0721,SYRIAC LETTER MIM,666893
ܲ,U+0732,SYRIAC PTHAHA DOTTED,781932
ܢ,U+0722,SYRIAC LETTER NUN,731991
ܘ,U+0718,SYRIAC LETTER WAW,1147465
ܼ,U+073C,SYRIAC HBASA-ESASA DOTTED,936669
ܙ,U+0719,SYRIAC LETTER ZAIN,110094
̈,U+0308,COMBINING DIAERESIS,285681
ܹ,U+0739,SYRIAC DOTTED ZLAMA ANGULAR,707718
ܥ,U+0725,SYRIAC LETTER E,236127
ܚ,U+071A,SYRIAC LETTER HETH,332551
ܝ,U+071D,SYRIAC LETTER YUDH,1170194
ܣ,U+0723,SYRIAC LETTER SEMKATH,161462
ܪ,U+072A,SYRIAC LETTER RISH,607867
ܨ,U+0728,SYRIAC LETTER SADHE,58186
ܩ,U+0729,SYRIAC LETTER QAPH,249231
ܸ,U+0738,SYRIAC DOTTED ZLAMA HORIZONTAL,502963
:,U+003A,COLON,99077
ܫ,U+072B,SYRIAC LETTER SHIN,325259
ܠ,U+0720,SYRIAC LETTER LAMADH,804039
ܛ,U+071B,SYRIAC LETTER TETH,97786
I,U+0049,LATIN CAPITAL LETTER I,773
4,U+0034,DIGIT FOUR,17715
>,U+003E,GREATER-THAN SIGN,628664
"
",U+000A,UNKNOWN,3999122
ܗ,U+0717,SYRIAC LETTER HE,548853
ܿ,U+073F,SYRIAC RWAHA,200437
/,U+002F,SOLIDUS,578254
ܦ,U+0726,SYRIAC LETTER PE,229187
.,U+002E,FULL STOP,190844
݇,U+0747,SYRIAC OBLIQUE LINE ABOVE,199640
2,U+0032,DIGIT TWO,30408
3,U+0033,DIGIT THREE,20097
̇,U+0307,COMBINING DOT ABOVE,82545
ܓ,U+0713,SYRIAC LETTER GAMAL,194238
̰,U+0330,COMBINING TILDE BELOW,57903
5,U+0035,DIGIT FIVE,16152
‐,U+2010,HYPHEN,13729
6,U+0036,DIGIT SIX,12743
،,U+060C,ARABIC COMMA,99818
8,U+0038,DIGIT EIGHT,12280
݈,U+0748,SYRIAC OBLIQUE LINE BELOW,167
(,U+0028,LEFT PARENTHESIS,13818
),U+0029,RIGHT PARENTHESIS,13203
̮,U+032E,COMBINING BREVE BELOW,8288
܆,U+0706,SYRIAC COLON SKEWED LEFT,7
݀,U+0740,SYRIAC FEMININE DOT,94
ܑ,U+0711,SYRIAC LETTER SUPERSCRIPT ALAPH,4083
̃,U+0303,COMBINING TILDE,3040
؛,U+061B,ARABIC SEMICOLON,4137
ـ,U+0640,ARABIC TATWEEL,22156
̣,U+0323,COMBINING DOT BELOW,60496
݁,U+0741,SYRIAC QUSHSHAYA,6494
܀,U+0700,SYRIAC END OF PARAGRAPH,5558
k,U+006B,LATIN SMALL LETTER K,999
q,U+0071,LATIN SMALL LETTER Q,854
”,U+201D,RIGHT DOUBLE QUOTATION MARK,11965
“,U+201C,LEFT DOUBLE QUOTATION MARK,9685
̱,U+0331,COMBINING MACRON BELOW,140
؟,U+061F,ARABIC QUESTION MARK,8910
!,U+0021,EXCLAMATION MARK,3301
U,U+0055,LATIN CAPITAL LETTER U,326
